t_star,0,t0,1,t1,2,t2,3,t3,dev0,dev1,dev2,dev3
51500,0.030640399246842105,3903.157894736842,0.03376331774333333,2746.6666666666665,0.028603201426666666,5493.333333333333,0.02871861382,12359.999999999998,0.0,7.807296241228072,5.092994550438598,4.804463567105264
51600,0.03065151905168421,3910.7368421052633,0.033778454773999995,2752.0,0.028617732072,5504.0,0.028736207865999997,12383.999999999998,0.0,7.817339305789462,5.084467449210528,4.788277964210534
51700,0.030662513057578947,3918.315789473684,0.03379378062466667,2757.3333333333335,0.028632276868,5514.666666666667,0.028747913349999998,12407.999999999998,0.0,7.828168917719301,5.0755904739473685,4.786499268947375
51800,0.030674926162421054,3925.8947368421054,0.033809044005999996,2762.6666666666665,0.028646733716,5525.333333333333,0.028752715498,12431.999999999998,0.0,7.835294608947353,5.070481116052636,4.8055266610526335
51900,0.030687212489684212,3933.4736842105262,0.033824244918,2768.0,0.028661040852,5536.0,0.028763452567999996,12455.999999999998,0.0,7.842581070789468,5.065429094210528,4.809399804210539
52000,0.030698711969473685,3941.0526315789475,0.03383960467666667,2773.3333333333335,0.028675188546666668,5546.666666666667,0.02878481726,12479.999999999998,0.0,7.85223176798246,5.058808557017545,4.78473677368421
52100,0.03070923282168421,3948.6315789473683,0.03385505974333333,2778.6666666666665,0.02868931376933333,5557.333333333333,0.0287962328,12503.999999999998,0.0,7.864567304122806,5.0497976308771975,4.782500054210528
52200,0.030720244448315788,3956.2105263157896,0.033870523814,2784.0,0.028703179651999998,5568.0,0.028801696338,12527.999999999998,0.0,7.875698414210527,5.042661990789475,4.796370275789466
52300,0.03073147350768421,3963.7894736842104,0.033885990886,2789.3333333333335,0.028716637888000003,5578.666666666667,0.028813684202,12551.999999999998,0.0,7.8862934457894776,5.037089049210516,4.794473264210525
52400,0.030742766237157895,3971.3684210526317,0.033901416434,2794.6666666666665,0.028729790728,5589.333333333333,0.028833102878,12575.999999999998,0.0,7.89662549210526,5.032438772894741,4.774158397894742
52500,0.030753851895263157,3978.9473684210525,0.03391683605,2800.0,0.02874296128,5600.0,0.02884919769,12599.999999999998,0.0,7.907460386842113,5.027226538157894,4.76163551315789
52600,0.030764314420736842,3986.5263157894738,0.033932770247333335,2805.3333333333335,0.028756521062000003,5610.666666666667,0.028860390374,12623.999999999998,0.0,7.921139566491233,5.019483396842099,4.759810116842103
52700,0.030774158943789473,3994.1052631578946,0.03394878918599999,2810.6666666666665,0.028769799711333335,5621.333333333333,0.028874250508,12647.999999999998,0.0,7.9365756055263,5.010898081140345,4.749771089473682
52800,0.030783573353894738,4001.684210526316,0.033965401314,2816.0,0.02878241493,5632.0,0.028893979511999998,12671.999999999998,0.0,7.954569900263151,5.0028960597368455,4.72398460473685
52900,0.030793014956421054,4009.2631578947367,0.03398213581266667,2821.3333333333335,0.02879462073,5642.666666666667,0.028917946139999998,12695.999999999998,0.0,7.972802140614031,4.9959855660526316,4.6876720410526405
53000,0.03080288418368421,4016.842105263158,0.03399923742333333,2826.6666666666665,0.028807023673333335,5653.333333333333,0.02893283066,12719.999999999998,0.0,7.990883099122797,4.989651275877187,4.675133809210527
53100,0.030812964611263156,4024.4210526315787,0.034016370822,2832.0,0.02882003788,5664.0,0.028947461151999997,12743.999999999998,0.0,8.008515526842109,4.982316828157892,4.663758648157899
53200,0.030822933828,4032.0,0.03403355720066666,2837.3333333333335,0.02883334453,5674.666666666667,0.028968824888,12767.999999999998,0.0,8.02655843166666,4.973973244999999,4.635272349999995
53300,0.030832263769894737,4039.5789473684213,0.034051178278,2842.6666666666665,0.028846485815333334,5685.333333333333,0.028987981484,12791.999999999998,0.0,8.047286270263156,4.964444886403508,4.610705714736843
53400,0.030841932945894737,4047.157894736842,0.034069234053999996,2848.0,0.028859339300000002,5696.0,0.029003930268,12815.999999999998,0.0,8.068252770263149,4.956484114736837,4.5950066947368375
53500,0.03085198874631579,4054.7368421052633,0.03408716902333333,2853.3333333333335,0.028872057813333334,5706.666666666667,0.02901437917,12839.999999999998,0.0,8.087950692543846,4.949827332456141,4.5940239407894765
